[2022-12-19 23:30:19,008]:INFO:iter:67, batch_loss==mmLoss:0.0,dloss:0.032091607379391006===
[2022-12-19 23:30:27,378]:INFO:iter:68, batch_loss==mmLoss:0.0,dloss:0.03309740300789343===
[2022-12-19 23:30:36,097]:INFO:iter:69, batch_loss==mmLoss:0.0,dloss:0.03597501588869101===
[2022-12-19 23:30:44,825]:INFO:iter:70, batch_loss==mmLoss:0.0,dloss:0.028140665142386157===
[2022-12-19 23:30:53,782]:INFO:iter:71, batch_loss==mmLoss:0.0,dloss:0.05017864988385412===
[2022-12-19 23:31:02,534]:INFO:iter:72, batch_loss==mmLoss:0.0,dloss:0.04169717414582984===
[2022-12-19 23:31:10,757]:INFO:iter:73, batch_loss==mmLoss:0.0,dloss:0.03371755374828354===
[2022-12-19 23:31:18,683]:INFO:iter:74, batch_loss==mmLoss:0.0,dloss:0.017228207417459628===
[2022-12-19 23:31:27,193]:INFO:iter:75, batch_loss==mmLoss:0.0,dloss:0.03246751142920061===
[2022-12-19 23:31:35,646]:INFO:iter:76, batch_loss==mmLoss:0.0,dloss:0.039755436628911414===
[2022-12-19 23:31:44,099]:INFO:iter:77, batch_loss==mmLoss:0.0,dloss:0.04372304869693835===
[2022-12-19 23:31:52,415]:INFO:iter:78, batch_loss==mmLoss:0.0,dloss:0.02997758521410021===
[2022-12-19 23:32:00,262]:INFO:iter:79, batch_loss==mmLoss:0.0,dloss:0.022561217188590898===
[2022-12-19 23:32:08,910]:INFO:iter:80, batch_loss==mmLoss:0.0,dloss:0.026755334537185503===
[2022-12-19 23:32:46,499]:INFO:iter:80,original:--P:0.04811059907834101,--R:0.25217391304347825,--F:0.0808049535603715
[2022-12-19 23:32:55,474]:INFO:iter:81, batch_loss==mmLoss:0.0,dloss:0.04783746327184417===
[2022-12-19 23:33:03,849]:INFO:iter:82, batch_loss==mmLoss:0.0,dloss:0.023831738394437706===
[2022-12-19 23:33:12,296]:INFO:iter:83, batch_loss==mmLoss:0.0,dloss:0.03819477817483261===
[2022-12-19 23:33:20,430]:INFO:iter:84, batch_loss==mmLoss:0.0,dloss:0.029427877014359182===
[2022-12-19 23:33:29,100]:INFO:iter:85, batch_loss==mmLoss:0.0,dloss:0.03431604427864841===
[2022-12-19 23:33:37,650]:INFO:iter:86, batch_loss==mmLoss:0.0,dloss:0.04253385819502===
[2022-12-19 23:33:46,272]:INFO:iter:87, batch_loss==mmLoss:0.0,dloss:0.02804806115651213===
[2022-12-19 23:33:54,693]:INFO:iter:88, batch_loss==mmLoss:0.0,dloss:0.04207976610185273===
[2022-12-19 23:34:02,864]:INFO:iter:89, batch_loss==mmLoss:0.0,dloss:0.02337963102955487===
[2022-12-19 23:34:11,893]:INFO:iter:90, batch_loss==mmLoss:0.0,dloss:0.043562272960037875===
[2022-12-19 23:34:20,425]:INFO:iter:91, batch_loss==mmLoss:0.0,dloss:0.039114744519247326===
[2022-12-19 23:34:29,432]:INFO:iter:92, batch_loss==mmLoss:0.0,dloss:0.036754151202265196===
[2022-12-19 23:34:38,505]:INFO:iter:93, batch_loss==mmLoss:0.0,dloss:0.03149679015848683===
[2022-12-19 23:34:47,018]:INFO:iter:94, batch_loss==mmLoss:0.0,dloss:0.027422632539290247===
[2022-12-19 23:34:55,722]:INFO:iter:95, batch_loss==mmLoss:0.0,dloss:0.02999742111919961===
[2022-12-19 23:35:04,220]:INFO:iter:96, batch_loss==mmLoss:0.0,dloss:0.049600550351560815===
[2022-12-19 23:35:12,961]:INFO:iter:97, batch_loss==mmLoss:0.0,dloss:0.03322271527722478===
[2022-12-19 23:35:21,515]:INFO:iter:98, batch_loss==mmLoss:0.0,dloss:0.037797339740258826===
[2022-12-19 23:35:29,985]:INFO:iter:99, batch_loss==mmLoss:0.0,dloss:0.02632979038062331===
[2022-12-19 23:35:38,620]:INFO:iter:100, batch_loss==mmLoss:0.0,dloss:0.04153441981556423===
[2022-12-19 23:36:16,907]:INFO:iter:100,original:--P:0.04806609087495306,--R:0.24734299516908212,--F:0.08049048891683698
[2022-12-19 23:36:25,330]:INFO:iter:101, batch_loss==mmLoss:0.0,dloss:0.027836593727700042===
[2022-12-19 23:36:34,276]:INFO:iter:102, batch_loss==mmLoss:0.0,dloss:0.0426578023078946===
[2022-12-19 23:36:43,199]:INFO:iter:103, batch_loss==mmLoss:0.0,dloss:0.025559460455787785===
[2022-12-19 23:36:51,890]:INFO:iter:104, batch_loss==mmLoss:0.0,dloss:0.04075040138429822===
[2022-12-19 23:37:00,672]:INFO:iter:105, batch_loss==mmLoss:0.0,dloss:0.028439896492442072===
[2022-12-19 23:37:09,357]:INFO:iter:106, batch_loss==mmLoss:0.0,dloss:0.03505814919123953===
[2022-12-19 23:37:18,165]:INFO:iter:107, batch_loss==mmLoss:0.0,dloss:0.02660076915170939===
[2022-12-19 23:37:26,442]:INFO:iter:108, batch_loss==mmLoss:0.0,dloss:0.0365265902515187===
[2022-12-19 23:37:34,917]:INFO:iter:109, batch_loss==mmLoss:0.0,dloss:0.033511397020642875===
[2022-12-19 23:37:43,616]:INFO:iter:110, batch_loss==mmLoss:0.0,dloss:0.047851437327335586===
[2022-12-19 23:37:52,865]:INFO:iter:111, batch_loss==mmLoss:0.0,dloss:0.029140226644818766===
[2022-12-19 23:38:01,129]:INFO:iter:112, batch_loss==mmLoss:0.0,dloss:0.03803744797187392===
[2022-12-19 23:38:09,697]:INFO:iter:113, batch_loss==mmLoss:0.0,dloss:0.038432315554175055===
[2022-12-19 23:38:18,357]:INFO:iter:114, batch_loss==mmLoss:0.0,dloss:0.03957867632270791===
[2022-12-19 23:38:27,163]:INFO:iter:115, batch_loss==mmLoss:0.0,dloss:0.023731260804885322===
[2022-12-19 23:38:35,726]:INFO:iter:116, batch_loss==mmLoss:0.0,dloss:0.030368985056077345===
[2022-12-19 23:38:44,424]:INFO:iter:117, batch_loss==mmLoss:0.0,dloss:0.036839509973845===
[2022-12-19 23:38:53,138]:INFO:iter:118, batch_loss==mmLoss:0.0,dloss:0.027333519764215452===
[2022-12-19 23:39:02,593]:INFO:iter:119, batch_loss==mmLoss:0.0,dloss:0.03534575362007164===
[2022-12-19 23:39:11,895]:INFO:iter:120, batch_loss==mmLoss:0.0,dloss:0.03251524473630525===
[2022-12-19 23:39:51,348]:INFO:iter:120,original:--P:0.04690869877785766,--R:0.25217391304347825,--F:0.07910289437793606
[2022-12-19 23:40:00,550]:INFO:iter:121, batch_loss==mmLoss:0.0,dloss:0.029970475925244953===
[2022-12-19 23:40:08,689]:INFO:iter:122, batch_loss==mmLoss:0.0,dloss:0.03788119704391875===
[2022-12-19 23:40:17,689]:INFO:iter:123, batch_loss==mmLoss:0.0,dloss:0.030455484678169144===
[2022-12-19 23:40:26,452]:INFO:iter:124, batch_loss==mmLoss:0.0,dloss:0.034612865289760375===
[2022-12-19 23:40:35,125]:INFO:iter:125, batch_loss==mmLoss:0.0,dloss:0.03614070785560024===
[2022-12-19 23:40:43,818]:INFO:iter:126, batch_loss==mmLoss:0.0,dloss:0.02816553312850937===
[2022-12-19 23:40:52,372]:INFO:iter:127, batch_loss==mmLoss:0.0,dloss:0.03601152574569311===
[2022-12-19 23:41:01,127]:INFO:iter:128, batch_loss==mmLoss:0.0,dloss:0.02852963530749548===
[2022-12-19 23:41:10,042]:INFO:iter:129, batch_loss==mmLoss:0.0,dloss:0.041550964433090073===
[2022-12-19 23:41:18,473]:INFO:iter:130, batch_loss==mmLoss:0.0,dloss:0.030622316862448075===
[2022-12-19 23:41:26,657]:INFO:iter:131, batch_loss==mmLoss:0.0,dloss:0.03068954637991126===
